,Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,_merge
126,2021-12-13,Drop Dead Gorgeous,1999,https://boxd.it/2m5bd5,3.5,,,2021-12-12,left_only
127,2021-12-14,The Edge of Seventeen,2016,https://boxd.it/2metzB,3.0,,,2021-12-13,left_only
128,2021-12-14,Pan's Labyrinth,2006,https://boxd.it/2mfAlX,3.5,,,2021-12-13,left_only
129,2021-12-18,The Conjuring,2013,https://boxd.it/2mRC4F,3.0,,,2021-12-17,left_only
130,2021-12-18,The Conjuring 2,2016,https://boxd.it/2mVuIv,3.0,,,2021-12-18,left_only
131,2021-12-19,Perfect Blue,1997,https://boxd.it/2n1drf,4.0,,,2021-12-18,left_only
132,2022-01-03,Never Let Me Go,2010,https://boxd.it/2qOUnl,4.0,,,2022-01-02,left_only
133,2022-01-06,Chicago,2002,https://boxd.it/2rDYIz,3.5,,,2022-01-06,left_only
134,2022-01-07,A Walk to Remember,2002,https://boxd.it/2rJgFD,2.0,,,2022-01-06,left_only
135,2022-01-07,Bend It Like Beckham,2002,https://boxd.it/2rKMkJ,3.5,,,2022-01-06,left_only
136,2022-01-07,Thelma & Louise,1991,https://boxd.it/2rN1ZL,3.0,,,2022-01-06,left_only
137,2022-01-07,Pride & Prejudice,2005,https://boxd.it/2rP5kB,5.0,Yes,,2022-01-06,left_only
138,2022-01-08,The Worst Person in the World,2021,https://boxd.it/2s3gJv,3.5,,,2022-01-07,left_only
139,2022-01-10,The Lost Daughter,2021,https://boxd.it/2sA817,3.0,,,2022-01-09,left_only
140,2022-01-10,"tick, tick...BOOM!",2021,https://boxd.it/2sCfsj,3.5,,,2022-01-09,left_only
141,2022-01-10,Kajillionaire,2020,https://boxd.it/2sDTSX,4.5,,,2022-01-09,left_only
142,2022-01-17,One Cut of the Dead,2017,https://boxd.it/2uvgqH,3.5,,,2022-01-16,left_only
143,2022-01-18,13 Going on 30,2004,https://boxd.it/2uHZkj,3.5,,,2022-01-17,left_only
144,2022-01-22,Spider-Man: No Way Home,2021,https://boxd.it/2vunjl,4.0,,,2022-01-21,left_only
145,2022-01-24,Annabelle: Creation,2017,https://boxd.it/2vWIgj,3.0,,,2022-01-23,left_only
146,2022-01-31,The Witch: Part 1. The Subversion,2018,https://boxd.it/2xnyqL,2.0,,,2022-01-30,left_only
147,2022-02-01,Okja,2017,https://boxd.it/2xyeGr,4.5,,,2022-01-31,left_only
148,2022-02-06,Zodiac,2007,https://boxd.it/2yro2r,3.5,,,2022-02-05,left_only
149,2022-02-12,Love and Leashes,2022,https://boxd.it/2zqeuH,2.5,,,2022-02-11,left_only
150,2022-02-15,Little Forest,2018,https://boxd.it/2A99AP,3.5,,,2022-02-14,left_only
151,2022-03-25,Kiki's Delivery Service,1989,https://boxd.it/2H92nH,3.5,,,2022-02-16,left_only
152,2022-02-19,Ali Wong: Don Wong,2022,https://boxd.it/2AMIon,,,,2022-02-18,left_only
153,2022-02-19,Bo Burnham: Inside,2021,https://boxd.it/2ANOcz,,,,2022-02-18,left_only
154,2022-02-20,Little Women,2019,https://boxd.it/2ATrbZ,3.0,,,2022-02-19,left_only
155,2022-02-20,Higher Learning,1995,https://boxd.it/2AYZHl,4.0,,,2022-02-19,left_only
156,2022-02-20,Appropriate Behavior,2014,https://boxd.it/2B0Bqf,3.5,,,2022-02-19,left_only
157,2022-02-24,The Tinder Swindler,2022,https://boxd.it/2BNxm7,,,,2022-02-23,left_only
158,2022-02-26,Colette,2018,https://boxd.it/2C44mh,2.0,,,2022-02-25,left_only
159,2022-02-26,Whiplash,2014,https://boxd.it/2C5eMB,2.5,,,2022-02-25,left_only
160,2022-02-27,Scream 2,1997,https://boxd.it/2Cf2tn,3.0,,,2022-02-26,left_only
161,2022-02-27,Memento Mori,1999,https://boxd.it/2CfDXJ,3.5,,,2022-02-26,left_only
162,2022-02-27,When Harry Met Sally...,1989,https://boxd.it/2CjzCl,3.0,,,2022-02-27,left_only
163,2022-03-06,Notting Hill,1999,https://boxd.it/2Dv3Al,3.0,,,2022-03-05,left_only
164,2022-03-08,Fresh,2022,https://boxd.it/2DZH6P,5.0,,,2022-03-08,left_only
165,2022-03-09,Scream,2022,https://boxd.it/2E7GKb,4.0,,,2022-03-08,left_only
166,2022-03-10,"Love, Simon",2018,https://boxd.it/2Eg2fb,4.0,,,2022-03-09,left_only
167,2022-03-13,The Weekend Away,2022,https://boxd.it/2EQkEb,2.5,,,2022-03-12,left_only
168,2022-03-15,Don't Look Up,2021,https://boxd.it/2FewJl,3.5,,,2022-03-14,left_only
169,2022-03-15,Ingrid Goes West,2017,https://boxd.it/2Fhclp,4.0,,,2022-03-14,left_only
170,2022-03-18,Turning Red,2022,https://boxd.it/2FJ4Bb,3.0,,,2022-03-17,left_only
171,2022-03-18,Nomadland,2020,https://boxd.it/2FJynX,4.0,,,2022-03-17,left_only
172,2022-03-23,Normal People,2020,https://boxd.it/2GMlRl,,,,2022-03-22,left_only
173,2022-03-25,West Side Story,2021,https://boxd.it/2H6wjT,2.5,,,2022-03-24,left_only
174,2022-03-25,Halloween Kills,2021,https://boxd.it/2H7vtl,4.0,,,2022-03-24,left_only
175,2022-03-26,The French Dispatch,2021,https://boxd.it/2HjdXB,4.0,,,2022-03-25,left_only
176,2022-03-28,Licorice Pizza,2021,https://boxd.it/2HETn3,3.0,,,2022-03-27,left_only
177,2022-03-28,Halloween,2018,https://boxd.it/2HHtjb,3.5,,,2022-03-27,left_only
178,2022-03-29,Juno,2007,https://boxd.it/2HQSuV,4.5,,,2022-03-28,left_only
179,2022-03-31,Death on the Nile,2022,https://boxd.it/2I8lfJ,3.5,,,2022-03-30,left_only
180,2022-04-12,Old,2021,https://boxd.it/2KkN8D,3.0,,,2022-04-11,left_only
181,2022-04-15,Lamb,2021,https://boxd.it/2KQsjT,3.0,,,2022-04-14,left_only
182,2022-04-16,Welcome to the Dollhouse,1995,https://boxd.it/2KWt5F,5.0,,,2022-04-15,left_only
183,2022-04-17,When Marnie Was There,2014,https://boxd.it/2Lc2hh,3.0,,,2022-04-16,left_only
184,2022-04-18,Moonrise Kingdom,2012,https://boxd.it/2LmUXL,3.5,,,2022-04-17,left_only
185,2022-04-20,White Hot: The Rise & Fall of Abercrombie & Fitch,2022,https://boxd.it/2LOzYT,,,,2022-04-19,left_only
186,2022-04-22,Moon,2009,https://boxd.it/2M8XGz,4.0,,,2022-04-21,left_only
187,2022-04-24,X,2022,https://boxd.it/2MvC7T,2.5,,,2022-04-23,left_only
188,2022-04-24,Secretary,2002,https://boxd.it/2MwSgp,4.0,,,2022-04-24,left_only
189,2022-05-06,The Other Guys,2010,https://boxd.it/2OzNrL,3.5,,,2022-05-05,left_only
190,2022-05-10,Crush,2022,https://boxd.it/2PgL9L,2.0,,,2022-05-09,left_only
191,2022-05-14,D.E.B.S.,2004,https://boxd.it/2PUbVf,4.0,,,2022-05-13,left_only
192,2022-05-14,Show Me Love,1998,https://boxd.it/2PZchP,3.0,,,2022-05-13,left_only
193,2022-05-14,The Fallout,2021,https://boxd.it/2Q2AQF,3.0,,,2022-05-14,left_only
194,2022-05-17,Ex Machina,2015,https://boxd.it/2QwaYt,4.0,,,2022-05-16,left_only
195,2022-05-18,Burning,2018,https://boxd.it/2QFnk5,3.5,,,2022-05-17,left_only
196,2022-05-18,Upgrade,2018,https://boxd.it/2QHqHZ,3.0,,,2022-05-17,left_only
197,2022-05-18,10 Things I Hate About You,1999,https://boxd.it/2QItYr,3.5,,,2022-05-17,left_only
198,2022-05-20,Plan B,2021,https://boxd.it/2R0qdX,4.0,,,2022-05-19,left_only
199,2022-05-28,Go-Go Sisters,2018,https://boxd.it/2SAZHf,3.0,,,2022-05-28,left_only
200,2022-06-02,Cyber Hell: Exposing an Internet Horror,2022,https://boxd.it/2TrQ8B,,,,2022-06-01,left_only
201,2022-06-06,Colossal,2016,https://boxd.it/2Ua7Od,3.5,,,2022-06-05,left_only
202,2022-06-10,Last Life in the Universe,2003,https://boxd.it/2UMzSj,3.0,,,2022-06-09,left_only
203,2022-06-11,Doctor Strange,2016,https://boxd.it/2V1mqh,3.0,,,2022-06-11,left_only
204,2022-06-13,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/2Vr2nT,3.5,,,2022-06-13,left_only
205,2022-06-16,No Exit,2022,https://boxd.it/2VTlsz,3.0,,,2022-06-15,left_only
206,2022-06-17,Moonlit Winter,2019,https://boxd.it/2W6DYz,3.5,,,2022-06-17,left_only
207,2022-06-21,CODA,2021,https://boxd.it/2WSGQJ,3.0,,,2022-06-20,left_only
208,2022-06-26,Murder Mystery,2019,https://boxd.it/2XNvkh,2.5,,,2022-06-25,left_only
209,2022-06-27,Sweet & Sour,2021,https://boxd.it/2XX2fR,3.0,,,2022-06-26,left_only
210,2022-06-27,Professor Marston and the Wonder Women,2017,https://boxd.it/2XZno5,3.5,,,2022-06-26,left_only
211,2022-06-27,Zola,2020,https://boxd.it/2Y1fKL,4.0,,,2022-06-26,left_only
212,2022-06-30,You Can Live Forever,2022,https://boxd.it/2YyxXp,2.5,,,2022-06-29,left_only
213,2022-07-01,Cha Cha Real Smooth,2022,https://boxd.it/2YGtRt,3.5,,,2022-06-30,left_only
214,2022-07-02,Uptown Girls,2003,https://boxd.it/2YVwlP,3.5,,,2022-07-02,left_only
215,2022-07-03,Cube,1997,https://boxd.it/2Z5PBR,4.0,,,2022-07-02,left_only
