Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-02-13,Saving Face,2004,https://boxd.it/1ENYl5,4,,,2021-02-13
2021-02-14,The Half of It,2020,https://boxd.it/1ESQq7,4,,,2021-02-13
2021-02-15,Pee Mak Phrakanong,2013,https://boxd.it/1F1ilP,3,,,2021-02-14
2021-03-29,Los Sures,1984,https://boxd.it/1KPUV7,3,,,2021-03-22
2021-03-29,Vice,2018,https://boxd.it/1KRipB,3.5,,,2021-03-28
2021-03-29,American Animals,2018,https://boxd.it/1KTqEN,4,,,2021-03-28
2021-03-29,The Lobster,2015,https://boxd.it/1KUqhB,3.5,,,2021-03-29
2021-03-31,Palm Springs,2020,https://boxd.it/1L9Otr,3.5,,,2021-03-31
2021-04-02,"I, Tonya",2017,https://boxd.it/1Lr2PP,3.5,,,2021-04-02
2021-04-03,Shoplifters,2018,https://boxd.it/1LtqWJ,5,,,2021-04-02
2021-04-04,Eighth Grade,2018,https://boxd.it/1LJOLH,5,,,2021-04-03
2021-04-05,Booksmart,2019,https://boxd.it/1LUSoz,4.5,,,2021-04-04
2021-04-07,Portrait of a Lady on Fire,2019,https://boxd.it/1MdIf1,4,,,2021-04-07
2021-04-08,The Miseducation of Cameron Post,2018,https://boxd.it/1Mjd99,4,,,2021-04-07
2021-04-08,47 Meters Down,2017,https://boxd.it/1MjYHx,2,,,2021-04-07
2021-04-08,Short Term 12,2013,https://boxd.it/1Mlwmb,3.5,,,2021-04-08
2021-04-11,Water Lilies,2007,https://boxd.it/1MFRMp,3,,,2021-04-08
2021-04-11,WeWork: or The Making and Breaking of a $47 Billion Unicorn,2021,https://boxd.it/1MFOHV,2.5,,,2021-04-10
2021-04-12,Marriage Story,2019,https://boxd.it/1MRxCN,3.5,,,2021-04-11
2021-04-14,Rain Man,1988,https://boxd.it/1Nb0Q3,3,,,2021-04-13
2021-04-14,Legally Blonde,2001,https://boxd.it/1Nd0QV,3,,,2021-04-13
2021-04-17,Moonlight,2016,https://boxd.it/1NxN6n,3.5,,,2021-04-16
2021-04-17,Shiva Baby,2020,https://boxd.it/1NzTUd,4.5,,,2021-04-16
2021-04-18,Carol,2015,https://boxd.it/1NGZzp,3,,,2021-04-17
2021-04-18,Tomboy,2011,https://boxd.it/1NHTId,3,,,2021-04-17
2021-04-20,The Witch,2015,https://boxd.it/1O63ov,3.5,,,2021-04-19
2021-04-28,Napoleon Dynamite,2004,https://boxd.it/1Ph759,3.5,,,2021-04-28
2021-05-01,Hillbilly Elegy,2020,https://boxd.it/1PA3o5,4,,,2021-04-30
2021-05-01,Disobedience,2017,https://boxd.it/1PCSSJ,4,,,2021-05-01
2021-05-09,Mulholland Drive,2001,https://boxd.it/1QKoCr,4,,,2021-05-09
2021-05-09,Lovesong,2016,https://boxd.it/1QKW1T,2.5,,,2021-05-09
2021-05-10,American Honey,2016,https://boxd.it/1QOOQn,3,,,2021-05-09
2021-05-10,Soul,2020,https://boxd.it/1QSLXX,4,,,2021-05-10
2021-05-12,The Incredibles,2004,https://boxd.it/1R9HxP,4,Yes,,2021-05-12
2021-05-13,Incredibles 2,2018,https://boxd.it/1RfFQR,4,,,2021-05-13
2021-05-13,Bird Box,2018,https://boxd.it/1Rgyr3,2.5,,,2021-05-13
2021-05-13,But I'm a Cheerleader,1999,https://boxd.it/1RhbfP,3,,,2021-05-13
2021-05-14,Jojo Rabbit,2019,https://boxd.it/1RkVnr,4,Yes,,2021-05-13
2021-05-14,Brokeback Mountain,2005,https://boxd.it/1RoUsD,3.5,,,2021-05-14
2021-05-15,The Killing of a Sacred Deer,2017,https://boxd.it/1RrV3l,3.5,,,2021-05-14
2021-05-15,Girlhood,2014,https://boxd.it/1RxsRN,3.5,,,2021-05-15
2021-05-16,The Clovehitch Killer,2018,https://boxd.it/1RCVSF,3,,,2021-05-15
2021-05-16,The Woman in the Window,2021,https://boxd.it/1REIvH,3,,,2021-05-16
2021-05-16,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/1RHusZ,4.5,,,2021-05-16
2021-05-28,Your Name Engraved Herein,2020,https://boxd.it/1TcSAf,3.5,,,2021-05-27
2021-05-28,WALLÂ·E,2008,https://boxd.it/1Tf6O5,5,,,2021-05-28
2021-06-02,Ford v Ferrari,2019,https://boxd.it/1TVfL9,3.5,,,2021-06-01
2021-06-05,The Virgin Suicides,1999,https://boxd.it/1UlZuv,3,,,2021-06-05
2021-06-10,The Ring,2002,https://boxd.it/1UY6Zh,4,,,2021-06-09
2021-06-12,Aquaman,2018,https://boxd.it/1VelQ7,3,,,2021-06-12
2021-06-21,"Kim Ji-young, Born 1982",2019,https://boxd.it/1WoTDP,3.5,,,2021-06-21
2021-06-22,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/1Ww4Nb,4,,,2021-06-22
2021-07-05,The Watermelon Woman,1996,https://boxd.it/1Yh3GV,4,,,2021-07-05
2021-07-09,The Cabin in the Woods,2011,https://boxd.it/1YMhAJ,4,,,2021-07-08
2021-07-10,Snowpiercer,2013,https://boxd.it/1YXPDT,3,,,2021-07-09
2021-07-11,Love Letter,1995,https://boxd.it/1Z5g9b,5,,,2021-07-10
2021-07-11,10 Cloverfield Lane,2016,https://boxd.it/1Z71kR,3,,,2021-07-10
2021-07-11,Along with the Gods: The Two Worlds,2017,https://boxd.it/1Z8mEZ,4,,,2021-07-10
2021-07-12,Along with the Gods: The Last 49 Days,2018,https://boxd.it/1ZhXMz,3.5,,,2021-07-11
2021-07-14,Portrait of a Lady on Fire,2019,https://boxd.it/1Zyav9,5,Yes,,2021-07-13
2021-07-14,Shutter,2004,https://boxd.it/1ZyFtN,3,,,2021-07-13
2021-07-20,It Comes at Night,2017,https://boxd.it/20zeQB,2.5,,,2021-07-20
2021-07-21,The Handmaiden,2016,https://boxd.it/20HecH,4,,,2021-07-21
2021-07-23,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/20YqGD,,Yes,,2021-07-23
2021-07-27,A Quiet Place Part II,2020,https://boxd.it/21AuDT,3,,,2021-07-27
2021-07-28,EXIT,2019,https://boxd.it/21GH95,3,,,2021-07-27
2021-07-28,Office Space,1999,https://boxd.it/21IAPn,5,,,2021-07-28
2021-07-31,Saint Maud,2019,https://boxd.it/225aAR,2.5,,,2021-07-30
2021-07-31,Save the Green Planet!,2003,https://boxd.it/2261Av,5,,,2021-07-30
2021-08-06,Norwegian Wood,2010,https://boxd.it/22Xe6z,2,,,2021-08-05
2021-08-08,Promising Young Woman,2020,https://boxd.it/23g9Ez,4,,,2021-08-07
2021-08-13,Ringu,1998,https://boxd.it/241o41,4,,,2021-08-12
2021-09-04,The Florida Project,2017,https://boxd.it/277HTV,3.5,,,2021-09-03
2021-09-07,Cruella,2021,https://boxd.it/27CsC3,3,,,2021-09-06
2021-09-13,The Queen's Gambit,2020,https://boxd.it/28lILl,,,,2021-09-12
2021-10-02,Black Swan,2010,https://boxd.it/2aS5Rj,4,,,2021-09-26
2021-10-03,Mrs. Doubtfire,1993,https://boxd.it/2b18rr,3,,,2021-10-02
2021-10-04,Squid Game,2021,https://boxd.it/2bjpeZ,4.5,,,2021-10-04
2021-10-05,Happiest Season,2020,https://boxd.it/2bm5rv,4,,,2021-10-04
2021-10-05,Green Room,2015,https://boxd.it/2boK7Z,3,,,2021-10-04
2021-10-05,The Princess Diaries,2001,https://boxd.it/2bqhXr,4,,,2021-10-04
2021-10-07,Eyes Wide Shut,1999,https://boxd.it/2bI3yj,3.5,,,2021-10-06
2021-10-09,Happy Together,1997,https://boxd.it/2bUZCd,4,,,2021-10-08
2021-10-09,Malignant,2021,https://boxd.it/2bWbxL,3,,,2021-10-08
2021-10-16,Game Night,2018,https://boxd.it/2d4tFt,5,,,2021-10-15
2021-10-16,Five Steps to Accept Farewell,2016,https://boxd.it/2d4CU3,,,,2021-10-15
2021-10-16,Moon Young,2015,https://boxd.it/2d5cJP,,,,2021-10-15
2021-10-17,Summerland,2020,https://boxd.it/2ddSNP,2.5,,,2021-10-16
2021-10-17,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2dgYRp,4,,,2021-10-16
2021-10-18,Dear Evan Hansen,2021,https://boxd.it/2dnESV,3.5,,,2021-10-17
2021-10-18,Cruel Intentions,1999,https://boxd.it/2dpxWl,4,,,2021-10-17
2021-10-18,Rent,2005,https://boxd.it/2dsGzB,3,,,2021-10-18
2021-10-19,Novitiate,2017,https://boxd.it/2dBI73,2,,,2021-10-18
2021-10-20,Imagine Me & You,2005,https://boxd.it/2dKi25,3.5,,,2021-10-19
2021-10-22,Halloween,1978,https://boxd.it/2dZCtF,3.5,,,2021-10-21
2021-10-22,I Know What You Did Last Summer,1997,https://boxd.it/2e14fX,3.5,,,2021-10-21
2021-10-24,Hocus Pocus,1993,https://boxd.it/2eivQZ,3,,,2021-10-23
2021-10-24,What's Eating Gilbert Grape,1993,https://boxd.it/2ejPKJ,3.5,,,2021-10-23
2021-10-24,I Want to Eat Your Pancreas,2018,https://boxd.it/2elBBR,5,,,2021-10-24
2021-10-25,"Paris, 13th District",2021,https://boxd.it/2eufQD,3.5,,,2021-10-24
2021-10-25,Drive My Car,2021,https://boxd.it/2ex4FF,5,,,2021-10-24
2021-10-26,A Silent Voice,2016,https://boxd.it/2eH2yx,4,,,2021-10-25
2021-11-06,Jennifer's Body,2009,https://boxd.it/2gp4Vl,3,,,2021-11-05
2021-11-06,Fight Club,1999,https://boxd.it/2gqx8J,3.5,,,2021-11-05
2021-11-06,The Rocky Horror Picture Show,1975,https://boxd.it/2grPpb,4,,,2021-11-06
2021-11-14,Birds of Paradise,2021,https://boxd.it/2hBhjn,2,,,2021-11-13
2021-11-21,The People Under the Stairs,1991,https://boxd.it/2iM7HP,5,,,2021-11-20
2021-11-21,Last Night in Soho,2021,https://boxd.it/2iOCpL,3,,,2021-11-21
2021-12-01,Spencer,2021,https://boxd.it/2kkaiF,4,,,2021-11-30
2021-12-01,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2kl5NF,4,,,2021-12-01
2021-12-03,Benedetta,2021,https://boxd.it/2kzULX,4,,,2021-12-02
2021-12-04,A League of Their Own,1992,https://boxd.it/2kIXOj,3,,,2021-12-03
2021-12-05,The Eyes of Tammy Faye,2021,https://boxd.it/2kOy2r,3,,,2021-12-04
2021-12-05,The Matrix,1999,https://boxd.it/2kQbXX,3,,,2021-12-04
2021-12-05,Happy Old Year,2019,https://boxd.it/2kROIf,4.5,,,2021-12-04
2021-12-05,Dear Ex,2018,https://boxd.it/2kTzxv,3.5,,,2021-12-04
2021-12-06,I Care a Lot,2020,https://boxd.it/2l2AqN,4,,,2021-12-05
2021-12-06,Disobedience,2017,https://boxd.it/2l4ztb,4,Yes,,2021-12-05
2021-12-07,Pride & Prejudice,2005,https://boxd.it/2lcxdL,5,,,2021-12-06
2021-12-07,Atonement,2007,https://boxd.it/2ldqz3,4.5,,,2021-12-06
2021-12-08,Scream,1996,https://boxd.it/2llD31,4.5,,,2021-12-07
2021-12-09,Thoroughbreds,2017,https://boxd.it/2lv8lj,3.5,,,2021-12-09
2021-12-10,Ju-on: The Grudge,2002,https://boxd.it/2lBzAd,3,,,2021-12-09
2021-12-12,Titane,2021,https://boxd.it/2lSArl,2.5,,,2021-12-11
2021-12-12,Borat Subsequent Moviefilm,2020,https://boxd.it/2lTWQf,5,,,2021-12-11
2021-12-12,Begin Again,2013,https://boxd.it/2lW2PL,3,,,2021-12-11
